region,grid_id,date,system:index,lst,ndvi,rainfall,month,year,longitude,latitude,temperature,humidity,solar_radiation,wind_speed,soil_moisture,mndwi,vci,tci,vhi,spi,spei,month_sin,month_cos,vhi_lag_1,vhi_lag_3,vhi_roll_3,ndvi_wavelet_approx,ndvi_wavelet_detail,lst_wavelet_approx,lst_wavelet_detail,rainfall_wavelet_approx,rainfall_wavelet_detail,target_vhi_next
Sindh,2384.0,2001-07-01,2384.0,38.3693300999517,0.10194342629482071,11.405039278653966,7,2001.0,,,36.3693300999517,32.69409422740765,34.47835955543471,3.77897766999839,0.19828674617860376,-0.3140929926133817,0.0,100.0,50.0,0.0,0.9933340211965936,-0.4999999999999998,-0.8660254037844388,87.35017450899201,87.35017450899201,50.0,0.10194342629482071,0.0,38.3693300999517,0.0,10.799212981360544,0.0,50.0
Sindh,2466.5,2001-06-01,2466.5,45.22213122592179,0.08693373530603972,6.22425404331185,6,2001.0,,,43.22213122592179,21.337974333941286,34.93724598844609,4.007404374197393,0.17211248371944546,-0.5376434384391745,0.0,100.0,50.0,0.0,-0.4047883433750216,1.2246467991473532e-16,-1.0,87.35017450899201,87.35017450899201,50.0,0.08693373530603972,0.0,45.22213122592179,0.0,6.22425404331185,0.0,50.0
Sindh,2467.0,2002-08-01,2467.0,41.58924250357255,0.09599047619047618,6.119637297746454,8,2002.0,,,39.58924250357255,24.629221793646725,34.67388582865802,3.886308083452418,0.17859412999559343,-0.49233811909798314,0.0,100.0,50.0,0.0,0.10047889587913014,-0.8660254037844384,-0.5000000000000004,87.35017450899201,87.35017450899201,50.0,0.09599047619047618,0.0,41.58924250357255,0.0,6.119637297746454,0.0,50.0
Sindh,2468.0,2001-01-01,2468.0,28.41104513830274,0.1091491594085477,4.60388790883225,1,2001.0,,,26.41104513830274,37.17461343377629,33.26636101647093,3.447034837943425,0.17644989827285376,-0.3364589671685535,74.99455840206544,99.70579061591857,87.35017450899201,0.41249604468071266,1.6077643123755307,0.49999999999999994,0.8660254037844387,87.35017450899201,87.35017450899201,87.35017450899201,0.10915816272077582,-9.003312228117476e-06,29.16294429293375,-0.7518991546310098,5.771708086584531,-1.1678201777522814,74.2747872038255
Sindh,2468.0,2001-02-01,2468.0,32.15518396932477,0.107273850516508,7.720846352262314,2,2001.0,,,30.15518396932477,33.86301581450139,33.699659142484286,3.571839465644159,0.18731849561955366,-0.36938144499966047,68.07475545695245,80.47481895069855,74.2747872038255,1.615322969402124,1.2414034291944116,0.8660254037844386,0.5000000000000001,87.35017450899201,87.35017450899201,80.81248085640875,0.10687554483529094,0.0003983056812170504,30.534569736182572,1.6206142331421964,6.642418232496895,1.07842811976542,47.722928484399645
Sindh,2468.0,2001-03-01,2468.0,39.19847116154432,0.10268642900546891,5.935946696471662,3,2001.0,,,37.19847116154432,26.550533114328264,34.65244242540579,3.8066157053848104,0.17750657054167082,-0.46601275269138137,51.147382575978185,44.2984743928211,47.722928484399645,0.9265343946181797,0.19391874780162072,1.0,6.123233995736766e-17,74.2747872038255,87.35017450899201,69.78263006573906,0.09925981953159198,0.001472251626740623,41.01346673087173,-1.8149955693274118,4.282053759070646,1.653892937401016,20.668387396511392
Sindh,2468.0,2001-04-01,2468.0,45.298504502686534,0.09651357099453109,3.5683435716156056,4,2001.0,,,43.298504502686534,20.34749689972886,34.96141962463657,4.0099501500895505,0.16551151297152844,-0.5508033792184807,28.369822449660976,12.966952343361811,20.668387396511392,0.012881923044793145,-0.7346354792284568,0.8660254037844387,-0.49999999999999983,47.722928484399645,87.35017450899201,47.55536769491218,0.0970239531100279,-0.0005103821154968003,44.86860230414962,0.4299021985369191,4.647736150189688,-1.0793925785740828,0.13763944091799374
Sindh,2468.0,2001-05-01,2468.0,47.76948663844056,0.08745758557828641,2.8840822226362044,5,2001.0,,,45.76948663844056,18.66286548762776,34.96068093202735,4.092316221281353,0.15927650179171873,-0.5853940004079302,0.0,0.2752788818359875,0.13763944091799374,-0.25117292049456835,-1.0319624116133674,0.49999999999999994,-0.8660254037844387,20.668387396511392,74.2747872038255,22.842985107276345,0.09985915928952258,-0.0014592531830032972,44.050142311480165,3.719344326960399,6.616116403119809,-3.58984429012553,68.33934479738811
Sindh,2468.0,2001-08-01,2468.0,40.68199121674714,0.1183065019242455,10.02267384858557,8,2001.0,,,38.68199121674714,26.76572810663578,34.539198279627755,3.8560663738915717,0.19808049865063224,-0.4400281652192189,100.0,36.67868959477622,68.33934479738811,2.0768913250189516,0.5859772133453993,-0.8660254037844384,-0.5000000000000004,0.13763944091799374,47.722928484399645,29.715123878272497,0.10536406617752403,0.001472251626740623,44.51053012056514,-3.8285389038179996,5.575069687516101,3.369373574466877,62.273192375008655
Sindh,2468.0,2001-09-01,2468.0,42.954050916048324,0.11580048612517724,1.4049528066996249,9,2001.0,,,40.954050916048324,22.33776796624856,34.81424041958769,3.931801697201611,0.1705909002318419,-0.5312956308309281,99.53764588915186,25.00873886086545,62.273192375008655,-0.8219654796273486,-0.47563061827603254,-1.0,-1.8369701987210297e-16,68.33934479738811,20.668387396511392,43.58339220443825,0.11607907566572406,-0.00027858954054683053,43.558342561392145,-0.604291645343824,2.1108551950901258,-0.7059023883905011,61.18543067087212
Sindh,2468.0,2001-10-01,2468.0,42.50448259916043,0.11458512254405508,0.4369718018652868,10,2001.0,,,40.50448259916043,22.55482566442317,34.85730408733541,3.9168160866386814,0.16646772741668697,-0.5295581452820443,95.05301057188163,27.317850769862616,61.18543067087212,-1.195507070368724,-0.5629990910245787,-0.8660254037844386,0.5000000000000001,62.273192375008655,0.13763944091799374,63.932655947756295,0.11864046561855243,-0.0014592531830032972,40.64061425036165,1.8638683487987808,0.8416885259677974,-0.4047167241025106,74.32190034746561
